2024-04-03 10:26:37,757 ; numexpr.utils                                                ; INFO    ; NumExpr defaulting to 8 threads.
2024-04-03 10:26:39,394 ; PT3S                                                         ; DEBUG   ; in MODULEFILE: Not __main__ Context: __name__: dxAndMxHelperFcts .
2024-04-03 10:26:39,394 ; PT3S                                                         ; DEBUG   ; ImportError: from PT3S import Dx - trying import Dx instead ... maybe pip install -e . is active ...
2024-04-03 10:26:39,433 ; h5py._conv                                                   ; DEBUG   ; Creating converter from 7 to 5
2024-04-03 10:26:39,433 ; h5py._conv                                                   ; DEBUG   ; Creating converter from 5 to 7
2024-04-03 10:26:39,433 ; h5py._conv                                                   ; DEBUG   ; Creating converter from 7 to 5
2024-04-03 10:26:39,433 ; h5py._conv                                                   ; DEBUG   ; Creating converter from 5 to 7
2024-04-03 10:26:41,335 ; PT3S                                                         ; DEBUG   ; in MODULEFILE: Not __main__ Context: __name__: Dx .
2024-04-03 10:26:41,335 ; PT3S                                                         ; DEBUG   ; ImportError: from PT3S import Xm - trying import Xm instead ... maybe pip install -e . is active ...
2024-04-03 10:26:41,342 ; PT3S                                                         ; DEBUG   ; in MODULEFILE: Not __main__ Context: __name__: Xm .
2024-04-03 10:26:41,342 ; PT3S                                                         ; DEBUG   ; in MODULEFILE: ImportError: from PT3S import Mx - trying import Mx instead ... maybe pip install -e . is active ...
2024-04-03 10:26:41,342 ; PT3S                                                         ; DEBUG   ; in MODULEFILE: Not __main__ Context: __name__: Mx .
2024-04-03 10:26:41,342 ; PT3S                                                         ; DEBUG   ; in MODULEFILE: ImportError: from PT3S import Xm - trying import Xm instead ... maybe pip install -e . is active ...
2024-04-03 10:26:41,346 ; PT3S                                                         ; DEBUG   ; ImportError: from PT3S import Mx - trying import Mx instead ... maybe pip install -e . is active ...
2024-04-03 10:26:41,346 ; PT3S                                                         ; DEBUG   ; in MODULEFILE: Not __main__ Context: __name__: dxDecodeObjsData .
in MODULEFILE: Not __main__ Context: __name__: dxDecodeObjsData .
